,alternative_names,reference_mass_ratio,reference_dimensionless_spin1,reference_dimensionless_spin2,remnant_mass,keyword1,keyword2,keyword3,reference_dimensionless_spin1_1,reference_dimensionless_spin1_2,reference_dimensionless_spin1_3,reference_dimensionless_spin2_1,reference_dimensionless_spin2_2,reference_dimensionless_spin2_3,precessing,notspinning,s1,s2,eta
992,"['PRIVATE:BBH:1072', 'SXS:BBH:1005']",1.254191808108334,"[-0.471168999755, 0.193184651659, -0.339617400093]","[0.558906407667, 0.322799537334, 0.321819714647]",0.953765352467,,,,-0.471168999755,0.193184651659,-0.339617400093,0.558906407667,0.322799537334,0.321819714647,1,0,0.6120951841116422,0.7212099850735233,0.24682106699804396
993,"['PRIVATE:BBH:1073', 'SXS:BBH:1006']",1.030792667530091,"[0.636588314436, 0.210179950649, -0.352261128638]","[-0.482539245108, 0.180138171142, 0.498101841718]",0.948617364963,,,,0.636588314436,0.210179950649,-0.352261128638,-0.482539245108,0.180138171142,0.498101841718,1,0,0.7573032394494303,0.7165188961183414,0.24994252176003212
994,"['PRIVATE:BBH:1074', 'SXS:BBH:1007']",1.4401174122843932,"[0.618481128905, 0.17452561340199998, -0.25251084914099997]","[-0.566372970124, -0.00018716920384600003, -0.562974928365]",0.9616477034249999,,,,0.618481128905,0.17452561340199998,-0.25251084914099997,-0.566372970124,-0.00018716920384600003,-0.562974928365,1,0,0.6904634859852159,0.7985731940698794,0.24186690842456063
995,"['PRIVATE:BBH:1075', 'SXS:BBH:1008']",1.196964263389217,"[0.559135712901, 0.257975848391, -0.502901952313]","[-0.0313425383587, 0.517116289374, -0.24916586021999998]",0.959263999834,,,,0.559135712901,0.257975848391,-0.502901952313,-0.0313425383587,0.517116289374,-0.24916586021999998,1,0,0.7950438085002565,0.5748697568544319,0.24799058844222982
996,"['PRIVATE:BBH:1076', 'SXS:BBH:1009']",1.172562981705255,"[-0.446034445796, -0.148677648886, -0.42300524264899997]","[-0.14267224062199999, -0.676779066088, -0.25633073750999996]",0.9583243940439999,,,,-0.446034445796,-0.148677648886,-0.42300524264899997,-0.14267224062199999,-0.676779066088,-0.25633073750999996,1,0,0.6324438357857185,0.7376250534868429,0.24842278633683945
997,"['PRIVATE:BBH:1077', 'SXS:BBH:1010']",1.162490206854013,"[0.690423811263, 0.213143262079, -0.188629577724]","[0.677899104315, -0.00947342404256, -0.041113900324]",0.9532189198609999,,,,0.690423811263,0.213143262079,-0.188629577724,0.677899104315,-0.00947342404256,-0.041113900324,1,0,0.746790604467503,0.6792107877485614,0.24858848306516731
998,"['PRIVATE:BBH:1078', 'SXS:BBH:1011']",1.5285381872987172,"[0.512329654934, 0.308547691847, 0.310651352311]","[0.329309681598, 0.48249345565699997, 0.47955349969899996]",0.9408536285419999,,,,0.512329654934,0.308547691847,0.310651352311,0.329309681598,0.48249345565699997,0.47955349969899996,1,0,0.6739344301648015,0.7557885684631439,0.23907670364294467
999,"['PRIVATE:BBH:1079', 'SXS:BBH:1012']",1.14044656510945,"[0.329888709868, -0.569467411319, -0.446820093258]","[0.0577304286243, -0.6731394326819999, 0.329394175656]",0.952958878416,,,,0.329888709868,-0.569467411319,-0.446820093258,0.0577304286243,-0.6731394326819999,0.329394175656,1,0,0.7954670886918104,0.7516315727646663,0.24892365010656034
1000,"['PRIVATE:BBH:1080', 'SXS:BBH:1013']",1.328303424511193,"[-0.219279449992, -0.627727884087, -0.131659740098]","[-0.15241638603399998, -0.680112517341, 0.32576097763399997]",0.950269723905,,,,-0.219279449992,-0.627727884087,-0.131659740098,-0.15241638603399998,-0.680112517341,0.32576097763399997,1,0,0.6778348329879551,0.7693529784985802,0.24502936720889296
1001,"['PRIVATE:BBH:1081', 'SXS:BBH:1014']",1.692493689837814,"[-0.643420920555, 0.10396502754999999, 0.327011553445]","[-0.542150196037, 0.086233463357, 0.463627750406]",0.943096201098,,,,-0.643420920555,0.10396502754999999,0.327011553445,-0.542150196037,0.086233463357,0.463627750406,1,0,0.7292021421031537,0.7185497451200082,0.23346278924951375
1002,"['PRIVATE:BBH:1082', 'SXS:BBH:1015']",1.513227786454526,"[-0.551389619563, 0.407332779174, -0.408809100184]","[0.290073512924, -0.316183707347, -0.478499998134]",0.963060050589,,,,-0.551389619563,0.407332779174,-0.408809100184,0.290073512924,-0.316183707347,-0.478499998134,1,0,0.7981700232060187,0.6427106875616753,0.23957450640184766
1003,"['PRIVATE:BBH:1083', 'SXS:BBH:1016']",1.526374770312691,"[-0.174994709575, -0.510992490076, 0.444964638141]","[-0.571135170651, 0.401072487443, -0.306734873954]",0.946520730121,,,,-0.174994709575,-0.510992490076,0.444964638141,-0.571135170651,0.401072487443,-0.306734873954,1,0,0.6998071180612988,0.7623259186449314,0.239147380232726
1004,"['PRIVATE:BBH:1084', 'SXS:BBH:1017']",1.8973637830975152,"[-0.215955284804, -0.57613661756, -0.477365642814]","[0.595000677642, 0.286448963937, 0.310838344858]",0.963011923877,,,,-0.215955284804,-0.57613661756,-0.477365642814,0.595000677642,0.286448963937,0.310838344858,1,0,0.7787477409710271,0.7298625157994353,0.22601879343839582
1005,"['PRIVATE:BBH:1085', 'SXS:BBH:1018']",1.16991573069784,"[-0.591472278624, 0.153170302476, -0.391965498368]","[-0.727865490986, 0.186631752513, 0.22045062381299999]",0.953589522405,,,,-0.591472278624,0.153170302476,-0.391965498368,-0.727865490986,0.186631752513,0.22045062381299999,1,0,0.7259046423960455,0.7830824104485461,0.24846707309366656
1006,"['PRIVATE:BBH:1086', 'SXS:BBH:1019']",1.057174397782209,"[0.32959014511199997, 0.448766636881, -0.34131571594]","[0.0351783031796, -0.638753914429, 0.395526557471]",0.950541560825,,,,0.32959014511199997,0.448766636881,-0.34131571594,0.0351783031796,-0.638753914429,0.395526557471,1,0,0.6530831310637776,0.7521205580741869,0.2498068916802907
1007,"['PRIVATE:BBH:1087', 'SXS:BBH:1020']",1.238269338012116,"[0.374857815519, 0.381848576854, 0.49056445677099997]","[0.529765769509, -0.26907815218, 0.5152309665479999]",0.931709300661,,,,0.374857815519,0.381848576854,0.49056445677099997,0.529765769509,-0.26907815218,0.5152309665479999,1,0,0.7259340216218882,0.7864590080951788,0.24716696699325058
1008,"['PRIVATE:BBH:1088', 'SXS:BBH:1021']",1.570787356680426,"[-0.27325302015499997, -0.509781947559, -0.450421014419]","[-0.528721882163, 0.47446330375699997, -0.263846460361]",0.962880483389,,,,-0.27325302015499997,-0.509781947559,-0.450421014419,-0.528721882163,0.47446330375699997,-0.263846460361,1,0,0.7330920387721563,0.7578108008830576,0.23767586669524232
1009,"['PRIVATE:BBH:1089', 'SXS:BBH:1022']",1.204134154297372,"[-0.626098449463, 0.047048437902300004, -0.492366622145]","[-0.516987491786, 0.170362897996, -0.557528430199]",0.96238697712,,,,-0.626098449463,0.047048437902300004,-0.492366622145,-0.516987491786,0.170362897996,-0.557528430199,1,0,0.7978958043074901,0.7791903067652576,0.2478556517982938
